"Symbol","price","grahamNumber","yearHigh","yearLow","grahamMinusPrice","DCF","DCFminusPrice","InsiderPurchased","TransactionCount","TransactionCountBand"
"BLK",769.76,461.589563307066,973.16,660.15,-308.170436692934,"878.329728832458","108.569728832458",0,0,"1-12"
"BLL",89.22,25.9446886290827,98.09,77.95,-63.2753113709173,"90.9116304854048","1.6916304854048",1021913.45455,12,"12-45"
"BMO",116.99,156.181545281093,122.77,88.98,39.1915452810933,"280.281430991952","163.291430991952",0,0,"1-12"
"BMO.TO",146.38,154.796537348983,154.47,112.34,8.4165373489831,"307.853524533049","161.473524533049",0,0,"1-12"
"BMRN",79.27,13.7244845486404,94.2,71.59,-65.5455154513596,"82.3338675278331","3.06386752783311",-21757769.94,38,"12-45"
"BMY",73.82,33.383943816951,74.07,53.22,-40.4360561830489,"80.0108768821966","6.1908768821966",-24857668.339,100,"45<"
"BNS.TO",89.07,102.16195832525,95,75.84,13.09195832525,"160.916534653465","71.846534653465",0,0,"1-12"
"BOL.PA",4.872,3.18226601326923,5.42,3.994,-1.68973398673077,"5.6285324934469","0.7565324934469",0,0,"1-12"
"BP",29.84,33.6279459290457,34.16,22.64,3.78794592904567,"38.9434726686739","9.1034726686739",0,0,"1-12"
"BR",156.31,40.8031086150377,185.4,137.58,-115.506891384962,"158.640220713073","2.330220713073",0,4,"1-12"
"BRO",72.56,27.1414528555938,74,46.46,-45.4185471444062,"75.7753501506161","3.2153501506161",0,0,"1-12"
"BSX",44.99,13.9281499054919,46.29,37.96,-31.0618500945081,"46.3487915578457","1.3587915578457",-2162497.3131,11,"1-12"
"BSY",44.25,3.03004100803623,71.92,34.45,-41.2199589919638,"45.2968076281701","1.0468076281701",-77627.24,20,"12-45"
"BURL",181.95,39.7189130994122,357.34,171.15,-142.231086900588,"197.965779584887","16.015779584887",0,6,"1-12"
"BXP",130.24,52.1396844020804,133.11,102.24,-78.1003155979196,"133.130790431551","2.89079043155098",238748.832,8,"1-12"
"C",52.33,159.171957292434,80.29,51.765,106.841957292434,"183.241770583533","130.911770583533",-301205.641,1,"1-12"
"CAE.TO",32.81,6.57761696712331,42.43,29.05,-26.2323830328767,"36.1455296588969","3.3355296588969",0,0,"1-12"
"CAG",34.08,32.5412069116233,39.09,30.06,-1.53879308837672,"34.2423616236162","0.162361623616199",0,0,"1-12"
"CAH",57.6,16.9932640461012,62.11,45.85,-40.6067359538988,"69.1884353741497","11.5884353741497",-70076.52,1,"1-12"
"CAR",260.58,38.8605968470342,545.11,65.87,-221.719403152966,"268.658668683812","8.078668683812",-32930341.7658,65,"45<"
"CAT",219.77,91.0677220835514,246.69,179.67,-128.702277916449,"236.824920751935","17.054920751935",71388856.49,26,"12-45"
"CATR.PA",206,87.3543124757997,213.6,153,-118.6456875242,"222.47792022792","16.47792022792",0,0,"1-12"
"CBOE",116.85,61.332183951693,139,98.8,-55.517816048307,"120.045327102804","3.195327102804",0,0,"1-12"
"CBRE",91.73,55.9765752771772,111,77.72,-35.7534247228228,"98.8727727937283","7.1427727937283",-5642332.722,18,"12-45"
"CCI",189.04,33.0331681892198,209.87,157.16,-156.00683181078,"189.712811059908","0.672811059908014",-441027.5,2,"1-12"
"CCJ",29.03,8.41047647565585,30.49,15.34,-20.6195235243441,"32.1671975525047","3.1371975525047",0,0,"1-12"
"CCK",125.76,37.6470410702766,130.42,95.27,-88.1129589297234,"129.802694200637","4.042694200637",-1642633.502,3,"1-12"
"CCL",20.05,65.7465510108561,31.52,14.94,45.6965510108561,"31.5841935483871","11.5341935483871",0,0,"1-12"
"CCO.TO",36.33,8.41047647565585,37.98,19.5,-27.9195235243441,"39.4671975525047","3.1371975525047",0,0,"1-12"
"CDAY",69.02,12.9250207809948,130.37,58.58,-56.0949792190052,"71.4634463348474","2.44344633484741",-1468833.32,46,"45<"
"CDNS",165.63,23.9522836217207,192.7,118.11,-141.677716378279,"169.534998242833","3.90499824283302",5107890.0912,32,"12-45"
"CDW",177.8,28.6063104450072,208.71,162.47,-149.193689554993,"179.637010676157","1.83701067615698",-221744.6,13,"12-45"
"CE",143.68,120.78557282935,176.5,132.26,-22.8944271706505,"148.508828828829","4.82882882882899",26519.0289,6,"1-12"
"CERN",93.49,22.1183184352733,93.87,69.08,-71.3716815647267,"95.4133994958734","1.92339949587341",1091252.94,18,"12-45"
"CF",99.79,39.2326767804875,109.8,43.19,-60.5573232195125,"107.643163781855","7.85316378185499",-20351263.54762,29,"12-45"
"CFG",44.19,82.3104518235787,57,39.555,38.1204518235787,"66.3842090937101","22.1942090937101",-1189380.08,10,"1-12"
"CGNX",78.06,17.0061673983613,92.17,61.51,-61.0538326016387,"79.0947106427444","1.0347106427444",0,0,"1-12"
"CHD",101.36,31.6812829473765,104.84,80.76,-69.6787170526235,"102.323942307692","0.963942307691994",485667.362866,22,"12-45"
"CHKP",139.23,55.0261451769179,149.62,107.85,-84.2038548230821,"141.165231316726","1.935231316726",0,0,"1-12"
"CHRW",103.13,46.7791277376221,112.15,84.67,-56.3508722623779,"105.053375226026","1.92337522602601",0,0,"1-12"
"CHTR",561.68,188.655739373697,825.62,544.59,-373.024260626303,"564.635982668656","2.95598266865602",-497560317.68,3,"1-12"
"CHWY",40.93,0.38415707168369,97.74,35.59,-40.5458429283163,"43.4180831941853","2.4880831941853",-1534972.68,5,"1-12"
"CI",246.25,223.138249285577,272.81,191.74,-23.1117507144228,"261.284234618093","15.034234618093",-69071,3,"1-12"
"CINF",138.07,182.94923698064,138.99,103.8,44.8792369806402,"145.062019643953","6.992019643953",74108.34,2,"1-12"
"CL",76.42,6.44721899899326,85.61,72.2,-69.9727810010067,"77.400785099611","0.980785099610998",0,0,"1-12"
"CLF",32.36,38.3293569320122,33.34,15.81,5.96935693201218,"32.4477864991958","0.0877864991958006",0,0,"1-12"
"CLR",62.9,46.390643495225,65.32,24.51,-16.509356504775,"62.9572584119214","0.0572584119214028",10906590.59,13,"12-45"
"CLX",142.83,20.4058857189045,196.65,127.02,-122.424114281096,"145.335911279743","2.50591127974297",3792731.84,9,"1-12"
"CM.TO",151.37,180.997664560076,167.5,123.26,29.6276645600761,"284.65357579029","133.28357579029",0,0,"1-12"
"CMCSA",47.7,38.1353517901238,61.8,44.27,-9.56464820987615,"49.5673097534834","1.8673097534834",-168097958.55,78,"45<"
"CME",239.82,112.497657851771,256.94,185.79,-127.322342148229,"247.71692134556","7.89692134556",2420617.26,38,"12-45"
"CMG",1594.04,206.517933724169,1958.55,1277.41,-1387.52206627583,"1622.63857598822","28.5985759882201",-1957715.5,4,"1-12"
"CMI",201.03,140.467325224558,273.65,189.5,-60.5626747754417,"218.942923289565","17.912923289565",0,0,"1-12"
"CMS",71.1,57.6394164403803,71.21,57.92,-13.4605835596197,"72.660773480663","1.560773480663",-2078768.1757,21,"12-45"
"CNC",85.51,48.8943356120689,88.61,59.33,-36.6156643879311,"107.724470056696","22.214470056696",6429096.42044,14,"12-45"
"CNHI",15.8,11.8631289997542,19.69,13.21,-3.9368710002458,"20.1857200825593","4.3857200825593",0,0,"1-12"
"CNI",127.81,70.3420624615568,137.19,100.66,-57.4679375384432,"128.988124560664","1.178124560664",0,0,"1-12"
"CNP",31.15,29.3261769889247,31.23,22.7,-1.82382301107526,"31.5276683087028","0.377668308702802",-57340,1,"1-12"
"CNQ",63.06,67.5405536870282,64.1,28.86,4.48055368702818,"63.6895651938452","0.629565193845195",0,0,"1-12"
"CNQ.TO",78.89,67.5405536870282,80.13,36.23,-11.3494463129718,"79.5195651938452","0.629565193845195",0,0,"1-12"
"CNR.TO",159.94,70.3420624615568,171.48,125,-89.5979375384432,"161.118124560664","1.178124560664",0,0,"1-12"
"COF",130.89,308.72253086613,177.95,122.43,177.83253086613,"182.141473014377","51.251473014377",-12090304.42,18,"12-45"
"CONE",90.36,10.4207092521592,90.49,67.85,-79.9392907478408,"93.1549959644875","2.7949959644875",0,24,"12-45"
"COO",428.42,434.975592418753,463.59,368.78,6.55559241875335,"430.341843687375","1.92184368737497",-6682071.15,14,"12-45"
"COP",100.58,68.6080490436005,107.52,47.85,-31.9719509563995,"104.365714124373","3.785714124373",-7959952.9575,13,"12-45"
"COST",575.57,100.392391630114,586.32,356.84,-475.177608369886,"600.906111948797","25.336111948797",-2403813.55,2,"1-12"
"CP",78.2,69.8634265244265,84.22,64.37,-8.33657347557353,"78.3030158256196","0.103015825619593",0,0,"1-12"
"CP.TO",97.84,68.7703603677343,105.46,82.12,-29.0696396322657,"97.9418450184502","0.101845018450192",0,0,"1-12"
"CPB",45.05,27.8211831794861,51.01,39.76,-17.2288168205139,"45.2762295081967","0.226229508196703",0,12,"12-45"
"CPRT",125.68,36.5011622821715,161.12,106.37,-89.1788377178285,"130.042478671605","4.362478671605",0,0,"1-12"
"CPT",171.6,52.5243312887208,180.37,109.23,-119.075668711279,"177.565155744002","5.965155744002",0,0,"1-12"
"CQP",56.57,0,61.91,38,-56.57,"58.3799173553719","1.8099173553719",0,0,"1-12"
"CRL",288.66,93.8935287601787,460.21,251.3,-194.766471239821,"293.350597958192","4.69059795819197",-2532920.5753,11,"1-12"
"CRM",212.25,45.5067039896478,311.75,184.44,-166.743296010352,"217.859856262834","5.609856262834",80786906.5871,100,"45<"
"CSCO",55.66,23.4901102468646,64.29,50.1,-32.1698897531354,"57.8259584513692","2.16595845136921",-267605.7184,8,"1-12"
"CSGP",66,15.6254777457913,101.05,49,-50.3745222542087,"75.7062503962769","9.7062503962769",-1295803.2,6,"1-12"
"CSL",250.19,95.5054066886774,255,167.17,-154.684593311323,"256.310754716981","6.12075471698103",0,0,"1-12"
"CSU.TO",2175.63,128.310655979819,2385.8,1677.44,-2047.31934402018,"2211.63495103468","36.0049510346798",0,0,"1-12"
"CSX",35.51,15.0562928888739,38.63,29.49,-20.4537071111261,"36.5029046563193","0.992904656319304",58515.08,1,"1-12"
"CTAS",423.88,91.5504848531765,461.44,338,-332.329515146823,"428.46317472402","4.58317472402001",-11812183.67,14,"12-45"
"CTLT",114.05,44.6454463534865,142.64,91.17,-69.4045536465135,"119.320588235294","5.270588235294",0,0,"1-12"
"CTSH",90.01,45.7363937612676,93.47,66.19,-44.2736062387324,"93.4168441064639","3.40684410646389",-1236964.815,48,"45<"
"CTXS",101.49,15.5841086288506,144.47,78.07,-85.9058913711494,"105.560941477439","4.07094147743901",0,0,"1-12"
"CU.TO",38.23,28.0821339934187,38.51,33.76,-10.1478660065813,"40.9650227104224","2.73502271042241",0,0,"1-12"
"CUBE",53.27,18.6422935518716,57.34,38.49,-34.6277064481284,"53.3243390777966","0.0543390777965982",0,0,"1-12"
"CVE",16.94,8.75580121303964,17.23,7.16,-8.18419878696036,"18.344821280133","1.404821280133",0,0,"1-12"
"CVE.TO",21.19,14.3652424165762,21.55,8.89,-6.82475758342377,"23.5278631296281","2.3378631296281",0,0,"1-12"
"CVNA",119.46,5.42845057189151,376.83,97.697,-114.031549428108,"121.729144105814","2.26914410581401",2619250,1,"1-12"
"CVS",101.09,87.6148967257642,111.25,73.3,-13.4751032742358,"108.169006772009","7.079006772009",-6265648.95,9,"1-12"
"CVX",164.22,115.436928458464,174.76,92.86,-48.7830715415358,"167.154318098812","2.93431809881201",0,0,"1-12"
"CZR",76.65,47.3591157176548,119.81,67.22,-29.2908842823452,"81.65","5",1549345.12,3,"1-12"
"D",86.33,55.4903024189943,86.39,70.37,-30.8396975810057,"86.6793827160494","0.349382716049405",0,0,"1-12"
"DAL",39.31,10.5459072598502,51.82,29.75,-28.7640927401498,"51.6859750390016","12.3759750390016",0,0,"1-12"
"DAR",83.2,42.6700472735612,85.98,58.7,-40.5299527264388,"83.6123737252837","0.4123737252837",-38305187.04,43,"12-45"
"DD",74.75,118.921835785204,86.28,66.37,44.1718357852038,"78.5943892181227","3.8443892181227",-720369,10,"1-12"
"DE",416.8,159.588158826355,437.98,320.5,-257.211841173645,"442.331847133758","25.531847133758",-20173452,18,"12-45"
"DG",226.3,78.4844167122394,240.14,185.15,-147.815583287761,"227.762304717317","1.46230471731698",63067454.3016,24,"12-45"
