"Symbol","piotroskiScore","quickRatio","currentRatio","priceToOperatingCashFlowsRatio","ebitda","ROA","ROE","debtEquityRatio","netProfitMargin","interestCoverage"
"MPWR","7","3.75228690778342","4.95651790750141","53.2790037484766","312555000","0.152616461463276","0.194554596719414","0.274794310220782","20.0383673428835","22.5502277219215"
"SUI","6","0.447650838667453","0.486978094987828","28.6322825158047","1056769000","0.0281717528955652","0.0549926606919332","0.936613028309752","16.8181092235662","2.54138206388206"
"FOXA","7","2.63657561625583","2.91439040639574","8.04005305039788","3.562e+09","0.0937799877867923","0.193293176301358","1.06095477838713","16.6550468665272","0"
"SWKS","5","2.69749430523918","4.35140470766894","15.5811945970655","2048800000","0.174409535893466","0.282852881765494","0.621774178323989","29.3261044019495","120.350746268657"
"PPL","5","1.94532931554025","2.15540249677142","9.97485962995595","1.062e+09","-0.0445474520663396","-0.107848138162209","1.42097209065073","-25.5922531558015","1.55119825708061"
"RCL","2","0.426842205459667","0.494156965105399","-10.1081377878012","-2675868000","-0.163074000518625","-1.03439997514529","5.34313239299695","-343.344801006179","-2.99618735160669"
"MTB","7",NA,NA,"8.15357960490122","2893363000","0.0119836247404697","0.103820809505231","7.66355645755654","31.0216410103722","0"
"CVNA","2","0.210726643598616","1.69273356401384","-9.99530625981881","1.47e+08","-0.0192444761225944","-0.441176470588235","21.2091503267974","-1.05353519587951","0"
"DOL.TO","8","0.347942914019067","0.832872502677561","17.4297800981934","1127960000","0.133613148139116","1.68535540862585","11.6136943264826","14.0166839738825","9.04935841588418"
"PAYC","6","0.15267256494893","1.13144427530006","57.5482369536764","323184000","0.0609490396234073","0.219264775979788","2.59750994165919","18.5651865803146",NA
"HPE","8","0.575578865954464","0.912553777734809","3.21170158405723","6.395e+09","0.0593944435778783","0.171598818286515","1.88683591207251","12.3344370860927","5.36492890995261"
"COO","3","0.834858625870783","2.00150252697719","25.1306672239427","823900000","0.306541608544482","0.424198334725864","0.383790947592843","100.759623609923","21.8961038961039"
"BEKE","3","2.09116714508229","2.41657530167209","40.8016672278116","1141363000","-0.00522463048201353","-0.00782586059994407","0.4966611508924","-0.649056556669452",NA
"CF","8","1.48393854748603","1.81075418994413","5.13031117956493","2.263e+09","0.0741010101010101","0.286026200873362","1.9772301933874","14.0256959314775","9.88"
