"Symbol","freeCashFlowGrowth","revGrowth1Yr","revGrowth2Yr","netIncomeGrowth1Yr","netIncomeGrowth2Yr","debt_repayment","employeeGrowth"
"ENPH","0.529911735861393","0.127411871793258","0.24015305824902","-0.2725089206526","-0.199759819593122","-291941000","comingSoon"
"WPM.TO","-0.582013305047013",NA,NA,NA,NA,"-195780000","comingSoon"
"ANSS","0.0283705121693948","-0.061894934481556","0.0319155720702884","-0.0844252123169103","0.00713226227214838","-4.5e+07","comingSoon"
"CERN","0.396969497219252","0.106505940164002","0.217156534180402","0.0531403393832929","0.158454369721884","0","comingSoon"
"CQP","1.10911424903723","0.0063502278990884","0.106985250582998","-9.57834355828221e-05","0.0998946368098159","-3.6e+09","comingSoon"
"SGEN","-1.71217540582748","0.185971362531449","0.349264099757935","-0.49620753598005","-0.411949004479066","0","comingSoon"
"MKC","-0.325612745098039","0.0675572047674069","0.174312925180835","0.0394899152654574","0.143438905070833","-257100000","comingSoon"
"LUV","2.10292326431181","-0.00599671057631412","0.163909820962635","-1.7864646171955","-2.14094267963153","-9.05e+08","comingSoon"
"EIX","-0.266287609571192","0.130226420664207","0.291700709896008","0.0858582432432432","0.308422669189189","-3.416e+09","comingSoon"
"DHI","-0.764716249559394","0.19284049945633","0.312124549401963","0.0831425116145409","0.19145676253652","-826300000","comingSoon"
"ZBH","0.221424627277747","0.133026131798576","0.246328744927388","1.29272921314741","1.5220021314741","-2654800000","comingSoon"
"KSU","0.183951393253719","0.266891891666034","0.393581080680696","-0.81381341815235","-0.795194761750405","-1.8e+07","comingSoon"
"FE","1.29659643435981","0.180122529644269","0.298134782608696","0.0877420623538581","0.196516267342167","-5.32e+08","comingSoon"
"QSR","0.580308836829478","0.407147666363875","0.647131222271319","0.196887933785728","0.421957694337829","-697243964.800552","comingSoon"
"GWW","-0.263498920086393","0.0968603561664875","0.206546391721702","0.0749170805369127","0.182408786193672","-8e+06","comingSoon"
"RPRX","-0.00840104018963654","0.367489779917824","0.598579264220474","0.654957652389435","0.994907874099605","0","comingSoon"
"POW.TO","0.0382140382140382","-0.0689435405040181","-0.0506466784836331","-0.47313746177164","-0.453847657460424","-1.407e+09","comingSoon"
"ALB","-10.8187460000388","0.0541117568526276","0.15952293253789","0.697459756452552","0.86720573775794","-1173823000","comingSoon"
"PPL.TO","0.628781684382666","0.00790329419265098","0.121996899501565","0.450225607890499","0.600411565217391","-1.31e+09","comingSoon"
"DTE","-3.40625","-0.0361760892809409","0.060206301790965","-0.0408662734288864","0.0550470981256891","-3.522e+09","comingSoon"
"CSGP","-0.0759504658956184","0.103607002600128","0.213967702860141","-0.0601267449173514","0.0338605740966079","0","comingSoon"
"SIRI","-0.0347721822541966","0.796151605450782","0.769773139029439",NA,NA,"-3.565e+09","comingSoon"
"ON","2.21936610930871","0.0334563488530817","0.13680198373839","-0.403504818740095","-0.343855302099841","-1270500000","comingSoon"
"LYV","2.24099366231316","-0.53039965911812","-0.560923681575357","0.265793239646625","0.183516677973683","-109705000","comingSoon"
"URI","-0.672666666666667","0.0772174557431042","0.184939201317415","-0.0742992431457431","0.0182708311688312","-8.462e+09","comingSoon"
"TSCO","-0.536317153909131","0.0397887810995196","0.143767659130924","-0.152363427852783","-0.0675997719418241","-4580000","comingSoon"
"SQM","-2.36287140710581",NA,NA,NA,NA,"-272137000","comingSoon"
"MAA","0.549923427235723","0.0846632984305561","0.193129627879929","-0.16397191222782","-0.0803691051366546","-639153000","comingSoon"
"DAL","1.00281096275474","0.0366979781932506","0.168714067661126","0.643688536821705","0.389026374031008","-5.833e+09","comingSoon"
"VTR","-0.356344727078584","0.258364848862607","0.476871090622353","-5.46214142588965","-7.67608574110349","-2109617000","comingSoon"
"INVH","0.420267415164713","0.0457559499452824","0.150331544639302","-0.0820409830735393","0.00975491249880463","-2166865000","comingSoon"
"STE","0.197676861422763","0.0138164809289983","0.0717565475866761","-0.646675938600906","-0.648779011071968","-65461000","comingSoon"
"IT","0.528742113035307","-0.0232864477999612","0.0743849071876792","-0.259283755481627","-0.185212132667977","-112915000","comingSoon"
"CHD","-0.0183980255777429","0.0710423691258357","0.178146606038419","0.0150488277945619","0.116553708761329","-3e+08","comingSoon"
"LH","0.510720802919708","0.0112532043496331","0.112378524710159","-0.0114907277163168","0.0873601985445674","-1.375e+09","comingSoon"
"FANG","21.2297297297297","-0.0989855009563042","0.0176317316463146","-0.0957140265811182","-0.00527002383134739","-4.371e+09","comingSoon"
"HZNP","1.55483705976911","-0.00766178569989555","0.118378726820212","-0.0833431863211916","-0.0523717218811916","-1.2e+07","comingSoon"
"VMC","-0.208376578904634","0.0609796894924534","0.167077658045459","0.0292365966010733","0.132160253428742","-1465200000","comingSoon"
"AEE","-0.184478371501272","0.0374329329058492","0.175416630903972","0.0531054515151515","0.191319372727273","-8e+06","comingSoon"
"ETR","-65.3727196051481","0.0235716771229176","0.163712083714273","0.0373688593829192","0.182964390521659","-4827827000","comingSoon"
"ARES","-4.940364718377","-0.443941120930198","-0.38833523326063","0.339581168044967","0.473539280935923","-548752000","comingSoon"
"MOS","1.18058252427184","0.0556453331606972","0.238771317914772","0.32530195020238","0.587907846191586","-1334900000","comingSoon"
"MLM","0.0350521436848204","-0.0730168200960473","0.0449909961211673","0.0311518846975089","0.144036908185053","-431200000","comingSoon"
"CDW","-0.407939116146329","0.0559805579036348","0.161578613693998","-0.00793443657697754","0.0912721181468744","0","comingSoon"
